job_id,prompt_idx,config,psnr,ssim,mse,lpips
000000000044,2,improved_fp16_cache,47.456382751464844,0.9982358813285828,1.796227297745645e-05,0.0007234429940581322
000000000045,0,improved_fp16_cache,45.625633239746094,0.9980984926223755,2.7380208848626353e-05,0.0008069650502875447
000000000045,1,improved_fp16_cache,49.748619079589844,0.9983489513397217,1.0595892490528058e-05,0.0007880583289079368
000000000045,2,improved_fp16_cache,46.62054443359375,0.9983236193656921,2.1774367269244976e-05,0.0005527648609131575
000000000046,0,improved_fp16_cache,54.46102523803711,0.9977877140045166,3.580115617296542e-06,0.0005625524208880961
000000000046,1,improved_fp16_cache,54.92374801635742,0.9982209205627441,3.218288838979788e-06,0.00048918800894171
000000000046,2,improved_fp16_cache,54.64748764038086,0.9980406165122986,3.4296590456506237e-06,0.0006886738119646907
000000000047,0,improved_fp16_cache,45.35178756713867,0.9981352686882019,2.9162261853343807e-05,0.0005142554873600602
000000000047,1,improved_fp16_cache,36.86770248413086,0.9910892844200134,0.0002056979137705639,0.003617769107222557
000000000047,2,improved_fp16_cache,45.20155334472656,0.9982756972312927,3.0188703021849506e-05,0.0005121991853229702
000000000048,0,improved_fp16_cache,54.167999267578125,0.998106837272644,3.830009518424049e-06,0.00038943433901295066
000000000048,1,improved_fp16_cache,54.47085952758789,0.9981102347373962,3.5720197502087103e-06,0.00033581280149519444
000000000048,2,improved_fp16_cache,53.17460250854492,0.9977929592132568,4.814370186068118e-06,0.00037897410220466554
000000000049,0,improved_fp16_cache,50.76468276977539,0.9979485869407654,8.385549335798714e-06,0.0003608287079259753
000000000049,1,improved_fp16_cache,47.32284164428711,0.9974588751792908,1.8523189282859676e-05,0.0007203736458905041
000000000049,2,improved_fp16_cache,46.32298278808594,0.9973248243331909,2.3318532839766704e-05,0.000930043519474566
000000000050,0,improved_fp16_cache,46.258968353271484,0.9962003231048584,2.3664812033530325e-05,0.0017166362376883626
000000000050,1,improved_fp16_cache,50.32075119018555,0.9972683787345886,9.288053661293816e-06,0.0012488598003983498
000000000050,2,improved_fp16_cache,48.78691482543945,0.9976608157157898,1.3222349480201956e-05,0.0011197470594197512
000000000051,0,improved_fp16_cache,45.009735107421875,0.997431755065918,3.1551942811347544e-05,0.00118159968405962
000000000051,1,improved_fp16_cache,45.3177604675293,0.9973806142807007,2.9391640055109747e-05,0.0013125226832926273
000000000051,2,improved_fp16_cache,47.285884857177734,0.9978758692741394,1.8681486835703254e-05,0.0006240406073629856
000000000052,0,improved_fp16_cache,55.289485931396484,0.9989041090011597,2.958362756544375e-06,0.000141340380650945
000000000052,1,improved_fp16_cache,52.42461013793945,0.9981340765953064,5.7218799156544264e-06,0.0002506610471755266
000000000052,2,improved_fp16_cache,49.368690490722656,0.9981822967529297,1.1564609849301632e-05,0.0003492807154543698
000000000053,0,improved_fp16_cache,45.90093994140625,0.9959377646446228,2.5698382160044275e-05,0.0020112674683332443
000000000053,1,improved_fp16_cache,49.34373092651367,0.9975286722183228,1.1631253983068746e-05,0.0009317559888586402
000000000053,2,improved_fp16_cache,47.194454193115234,0.9967719912528992,1.9078943296335638e-05,0.0012199075426906347
000000000054,0,improved_fp16_cache,46.11039733886719,0.997618556022644,2.4488392227794975e-05,0.0008649202063679695
000000000054,1,improved_fp16_cache,47.520626068115234,0.9981077909469604,1.769853406585753e-05,0.0007318703574128449
000000000054,2,improved_fp16_cache,48.05253601074219,0.9979869723320007,1.56583573698299e-05,0.0007598263910040259
000000000055,0,improved_fp16_cache,49.083072662353516,0.9974803328514099,1.2350722499832045e-05,0.001675911364145577
000000000055,1,improved_fp16_cache,51.42405319213867,0.9980537295341492,7.20434627510258e-06,0.0009158036555163562
000000000055,2,improved_fp16_cache,48.828102111816406,0.9971503615379333,1.3097528608341236e-05,0.0018007726175710559
000000000056,0,improved_fp16_cache,48.24093246459961,0.9982516169548035,1.49936240632087e-05,0.00043810094939544797
000000000056,1,improved_fp16_cache,44.999080657958984,0.9976071119308472,3.162945722579025e-05,0.0006461601005867124
000000000056,2,improved_fp16_cache,44.331329345703125,0.9971911907196045,3.6886456655338407e-05,0.0007293132366612554
000000000057,0,improved_fp16_cache,46.43354797363281,0.9986874461174011,2.27323889703257e-05,0.000416099326685071
000000000057,1,improved_fp16_cache,44.27593994140625,0.9979891180992126,3.73599432350602e-05,0.0005503536085598171
000000000057,2,improved_fp16_cache,44.59654998779297,0.9981407523155212,3.4701199183473364e-05,0.000688916421495378
000000000058,0,improved_fp16_cache,45.43312072753906,0.9957444071769714,2.8621210731216706e-05,0.001626159530133009
